depth_cat,station,time_s,date,pressure,descent_rate,PAR,temp,density,oxygen_conc,perc_ox_sat,fluorescence
0,A,2616.655221197927,2023-09-25,0.42270370739485746,-0.002399940203308751,5.551681099262508,23.59045563832968,998.0525747757624,223.87488506577637,84.72076562188559,0.6396145106637432
0,B,499.83495833333336,2023-09-25,0.42441666666666666,-0.028708333333333332,4.308229166666667,23.63626875,997.5168458333333,270.9709375,102.13695833333333,0.6335475
0,C,2782.085078544061,2023-09-26,0.4662088122605364,-0.01015708812260536,4551.237164750958,25.017689559386973,998.1751641762452,228.62923946360152,89.13841187739463,0.4642328984674331
0.5,A,1314.6747068316822,2023-09-25,0.7835593744004612,-0.0010898760599247228,5.856039699045674,23.65011026571829,997.8217461588779,250.80315070127864,93.60232593187891,0.6494328857695988
0.5,B,427.82758383094824,2023-09-25,0.8554325315668221,-0.0010760936065504437,5.9687334404355195,23.737728923819176,997.4933274105772,271.56830053290696,102.04953663512646,0.6323840032246999
0.5,C,2457.4772461853504,2023-09-26,0.7340430457746462,-0.0016296654838533038,3278.816372862701,25.89319024794601,997.1839199618545,244.74083576877933,96.02286305751174,0.3843958468603257
0.5,Deep,371.7697874856868,2023-09-27,0.8981239030904227,-7.606829454406609e-4,4.69078441243801,25.640851487981685,996.9609307134681,258.94936264784434,101.36345750667684,0.6939098903090424
1,A,170.49573296141756,2023-09-25,1.0617697885019006,-0.0038455243461862636,3.4254021458570256,24.104304481081986,998.7662465264522,258.93612594041844,99.25572502079626,0.6601341452876337
1,B,83.60568120782077,2023-09-25,1.0883949810658355,0.0034243733653281433,3.035912883724316,23.363861111041388,997.8409492195829,272.03711383361195,102.2195765871482,0.6310362046956393
1,C,182.88747037273708,2023-09-26,1.1245603695444406,-0.002221407915775743,4878.368493150686,26.187526130933417,997.8939153791016,251.51051314112775,102.34267035680153,0.07721244313475663
1,Deep,86.81995286285144,2023-09-27,1.1172229027962721,2.721704394141029e-4,3.1180335419440746,26.099646151797604,997.2975794007989,257.37316284953397,101.39804127829561,0.6935608202396805
1.5,A,1419.7363950523102,2023-09-25,1.7359019180470794,-0.07522359052600988,6.148861933304272,26.83348808849172,1022.4479816314298,202.36764399883754,100.56632859270562,0.6426954424585876
1.5,B,871.5349587411534,2023-09-25,1.82441620237916,0.031105179942779684,6.36798242734528,26.760039244842645,1021.3573827887367,212.46250865833457,104.39006038247251,0.5526884362294835
1.5,C,1275.8416277056288,2023-09-26,1.7076060606060606,0.11742424242424243,4595.966666666666,26.970625757575757,1020.0867073593074,204.07209956709957,99.39852164502165,0
1.5,Deep,593.5655,2023-09-27,1.7564285714285715,0.4734285714285714,3.664471428571429,26.830835714285715,1022.0894,210.4143214285714,104.27260714285714,0.5402928571428571
2,A,782.9506879084965,2023-09-25,2.2826935646053292,-0.029687028657616906,4.623865082327803,26.838503682755153,1022.7089121543489,196.50347310206132,97.89761902966315,0.6537661777275012
2,B,875.3964441206347,2023-09-25,2.266678664063039,-0.03042247305147095,4.3678167046362315,26.764275105525805,1022.74445438869,206.1802665981242,102.60705060060948,0.5511631527066876
2,C,523.7409842379386,2023-09-25,2.36107305372807,-0.3125337171052631,2732.7882127192984,26.914509710800438,1022.7121566269188,199.86541200657894,99.72418647203948,0.20999538843201754
2,Deep,594.2058823529412,2023-09-27,2.243705882352941,0.7191764705882353,3.2683411764705883,26.833641176470586,1022.6712617647058,216.53785294117645,107.84029411764706,0.5427711764705883
2.5,A,1114.05520054985,2023-09-25,2.7341297919790026,-0.0013158833520908117,2.977774730577716,26.831688807087417,1022.7305449270743,183.6508718619312,91.49216635969483,0.6681884912144456
2.5,B,889.4575235676991,2023-09-25,2.739492655210643,0.09148564122738002,2.636757790885845,26.768116383395324,1022.7559245326246,205.4791112223732,102.2755169739289,0.5510592923431801
2.5,C,605.0517067948715,2023-09-25,2.7607930128205127,-0.2634198717948718,1764.0620397435898,26.912657676282052,1022.7162941410256,198.00573439102564,98.79421865384614,0.22660766365384616
2.5,Deep,624.554625,2023-09-27,2.792,0.4688125000000001,1.97301875,26.83604375,1022.746359375,217.54309375,108.41190625,0.56982625
3,A,1101.3039603625543,2023-09-25,3.241177489177489,-0.017281250000000033,2.2458423083513708,26.835431337932903,1022.6938894976552,194.04276605339106,96.64062046807359,0.6535801889430015
3,B,921.5432968515743,2023-09-25,3.267077679910045,-0.004117503748125941,1.8663271148800598,26.764493923350823,1022.7741848013493,192.99521645427285,96.06997863568216,0.5628506765367316
3,C,819.3217930304191,2023-09-25,3.2265625721986906,-0.2184886407393146,1520.6585531382366,26.908351641316905,1022.7192298661918,193.0841877165961,96.32928648440509,0.3078629118213323
3,Deep,725.2658895027624,2023-09-27,3.208668508287293,-0.14485082872928182,1.5581649723756907,26.829112983425414,1022.7602806629834,202.85967403314916,101.09190883977901,0.5961990607734807
3.5,A,1164.5970252789048,2023-09-25,3.7475692190669374,-0.01671916835699797,2.1338291604969575,26.83534706643002,1022.7267857669879,192.48406691176473,95.89515547667344,0.6560008247971603
3.5,B,903.0858575295276,2023-09-25,3.7598628813976376,0.02947225639763783,1.7083231114665354,26.765179253813976,1022.7743071019931,189.78103038877953,94.47017073695866,0.5397634399606299
3.5,C,639.9297658458731,2023-09-25,3.7523048335613316,-0.2446375968992248,1376.097897856817,26.907613571591426,1022.7206152986776,195.5286453488372,97.54805859553123,0.3136301778385773
3.5,Deep,702.6579476744186,2023-09-27,3.729761627906977,-0.09501453488372093,1.2834939825581395,26.830658139534883,1022.7689264534883,211.26182994186047,105.29017296511628,0.5758365697674419
