depth_cat,time_s,date,pressure,descent_rate,PAR,temp,density,oxygen_conc,perc_ox_sat,fluorescence,c_star_at0,c_star_tr0,station
2,133.91447368421052,2023-09-25,2.4365263157894734,-0.6254736842105263,1756.336842105263,26.85533947368421,1022.7286973684211,197.2971052631579,98.34505263157895,0.41604157894736843,0.5123736842105263,87.97725263157895,C1
2.5,133.8867435897436,2023-09-25,2.7356410256410255,-0.5325897435897435,1673.9871794871794,26.8553141025641,1022.7301012820512,197.41155128205128,98.4021923076923,0.4157976923076923,0.5133307692307693,87.95601538461538,C1
3,139.61012244897958,2023-09-25,3.233265306122449,-0.39716326530612245,1578.2911224489796,26.854994387755102,1022.7322066326531,197.1421530612245,98.26730612244899,0.41137744897959183,0.5144602040816326,87.93131734693877,C1
3.5,143.80105882352942,2023-09-25,3.7514313725490194,-0.4385,1365.238431372549,26.85510931372549,1022.7338480392157,197.15283333333332,98.27241176470588,0.3979392549019608,0.5266764705882353,87.6665294117647,C1
4,142.75,2023-09-25,4.238263157894737,-0.11553947368421053,1226.0517105263157,26.85484342105263,1022.7294322368421,197.27519736842106,98.3275,0.4165219736842105,0.5429328947368421,87.31969605263158,C1
4.5,142.1177536231884,2023-09-25,4.765753623188406,0.07460869565217391,1108.1311594202898,26.85473043478261,1022.738518115942,197.39915942028986,98.39471014492753,0.41678695652173914,0.5561652173913043,87.04579130434783,C1
5,134.6353448275862,2023-09-25,5.2722137931034485,0.13795862068965528,1096.2370344827586,26.855654137931033,1022.7405103448276,197.22263793103448,98.30829655172414,0.40788220689655175,0.5310875862068966,87.57693655172413,C1
5.5,137.95706122448982,2023-09-25,5.725397959183674,0.13077551020408162,1178.130612244898,26.855140816326532,1022.7428198979592,197.22038265306122,98.30655102040816,0.3939976530612245,0.5214397959183673,87.77937653061224,C1
6,130.68879591836733,2023-09-25,6.238857142857142,0.020040816326530667,979.5132653061224,26.854666326530612,1022.7452224489796,197.1530918367347,98.27227551020408,0.3914183673469388,0.5257285714285714,87.68714489795919,C1
6.5,129.92224390243902,2023-09-25,6.776085365853659,0.3524146341463415,934.7220731707317,26.855216463414635,1022.7472591463414,197.15925000000001,98.27614024390243,0.42392573170731707,0.52585,87.68586829268293,C1
7,135.36773913043479,2023-09-25,7.245086956521739,0.14430434782608698,992.6960869565218,26.855619565217392,1022.7489326086957,197.37021739130435,98.38180434782609,0.42411130434782607,0.5700130434782609,86.73111304347826,C1
7.5,148.8533125,2023-09-25,7.885104166666666,0.047791666666666684,893.0441666666667,26.855713541666667,1022.7473427083333,197.551,98.46842708333334,0.43879708333333334,0.56834375,86.7589,C1
8,137.67160824742268,2023-09-25,8.257530927835052,0.0922938144329896,683.9452577319587,26.85600670103093,1022.7505041237114,197.40977835051547,98.39990206185567,0.43344335051546395,0.5713340206185568,86.70041494845361,C1
8.5,122.70327272727273,2023-09-25,8.707353535353535,0.057959595959596,683.3078787878787,26.85733888888889,1022.7541813131313,197.22595454545456,98.31225252525252,0.4250564646464647,0.5269585858585858,87.66183939393939,C1
9,127.659,2023-09-25,9.254947368421053,-0.013157894736842122,317.1921052631579,26.856490789473686,1022.757097368421,197.4468947368421,98.42122368421053,0.4229802631578947,0.54245,87.3246105263158,C1
