depth_cat,time_s,date,pressure,descent_rate,PAR,temp,density,oxygen_conc,perc_ox_sat,fluorescence,c_star_at0,c_star_tr0,station
1342,2289.7948461538463,2023-09-27,1342.266,0.9566153846153845,0.010847584615384615,3.3075076923076923,1033.6872576923076,58.5625,18.231538461538463,0.41983846153846155,0.43225384615384616,89.75775384615385,Deep
1342.5,2290.3301538461537,2023-09-27,1342.7646923076923,0.9413076923076923,0.010075892307692307,3.307326923076923,1033.6895576923077,58.46115384615385,18.199961538461537,0.42153,0.4316615384615385,89.77116153846153,Deep
1343,2290.857666666667,2023-09-27,1343.2439166666666,0.9270833333333334,0.012129333333333332,3.3072916666666665,1033.6917458333332,58.48820833333333,18.208291666666668,0.42002666666666666,0.43264166666666665,89.748975,Deep
1343.5,2291.371769230769,2023-09-27,1343.7506923076924,0.9306923076923077,0.011207376923076924,3.306203846153846,1033.6943576923077,58.428576923076925,18.189346153846152,0.4178646153846154,0.43216923076923075,89.75966923076923,Deep
1344,2291.8958333333335,2023-09-27,1344.26325,0.95,0.011808858333333333,3.304125,1033.6972416666667,58.41683333333333,18.184791666666666,0.41697,0.4321833333333333,89.75935,Deep
1344.5,2292.3958333333335,2023-09-27,1344.739,0.965,0.010472433333333333,3.3010875,1033.6997416666666,58.38179166666667,18.172541666666667,0.4230791666666667,0.43209166666666665,89.761425,Deep
1345,2292.9583333333335,2023-09-27,1345.2476666666666,0.9581333333333333,0.0121766,3.30011,1033.7022466666667,58.5049,18.2104,0.42198066666666667,0.43222,89.75852,Deep
1345.5,2293.5625,2023-09-27,1345.7629285714286,0.9167857142857143,0.009645228571428572,3.2972,1033.705375,58.67196428571429,18.261214285714285,0.41967785714285716,0.4322357142857143,89.75816428571429,Deep
1346,2294.1666666666665,2023-09-27,1346.2573333333332,0.8650666666666667,0.012364546666666667,3.2939933333333333,1033.7079166666667,58.64346666666667,18.250833333333333,0.42246933333333336,0.4325133333333333,89.75188,Deep
1346.5,2294.75,2023-09-27,1346.7454615384615,0.8332307692307692,0.013200384615384616,3.2916346153846154,1033.7105807692308,58.467,18.194846153846154,0.4189930769230769,0.4323384615384615,89.75583846153846,Deep
