depth_cat,time_s,date,pressure,descent_rate,PAR,temp,density,oxygen_conc,perc_ox_sat,fluorescence,station
0,49.958,2023-09-26,0.469,-0.036,3.4843,23.16785,997.6285499999999,273.62350000000004,102.25,0.6337,B2
0.5,275.13272468758134,2023-09-26,0.888557255802093,-0.0011491966335118791,5.594602818158621,23.658055292017345,997.5248019574088,273.7176249681204,102.08975943636827,0.6307324266768681,B2
1,72.30246697774719,2023-09-26,1.0916094759511847,6.349605168700608e-4,3.2339238693467336,23.287966511127063,997.9329447595119,272.4803971643934,102.28619346733669,0.6299034350323043,B2
1.5,693.5569519650655,2023-09-26,1.7990393013100436,-0.0720655021834061,8.98778209606987,26.732719868995634,1022.6632379912663,199.98217248908296,99.37217248908297,0.5789148034934498,B2
2,624.9268380129588,2023-09-26,2.2648596112311012,0.06880345572354214,6.135330669546437,26.74542030237581,1022.7641962203023,208.97997840172786,103.98106695464362,0.5753055291576674,B2
2.5,668.8516568914957,2023-09-26,2.715909090909091,0.04503225806451614,3.7366137829912023,26.74741173020528,1022.7794428152492,202.28000293255133,100.6638357771261,0.5725134017595308,B2
3,612.9098695652174,2023-09-26,3.2523967391304347,-0.062010869565217376,2.7532844021739127,26.746283967391303,1022.7761114130435,190.39921739130435,94.74654347826088,0.5809244565217392,B2
3.5,588.5610275590551,2023-09-26,3.7643976377952755,0.04039763779527561,2.280386535433071,26.746688976377953,1022.7757431102362,184.66877952755905,91.89395866141733,0.5511956299212598,B2
4,659.6053463203464,2023-09-26,4.295,0.1280865800865801,2.370296233766234,26.748062554112554,1022.7869733766233,193.84758874458873,96.47059956709957,0.559392683982684,B2
4.5,665.4273817427387,2023-09-26,4.757356846473029,0.06513692946058092,2.1346509128630706,26.748658506224068,1022.7899773858921,195.41017842323652,97.25004771784232,0.56612377593361,B2
5,707.0515625000002,2023-09-26,5.28348125,0.047931249999999946,1.4970311875,26.745213125,1022.7733284375,179.16398125,89.14606875,0.5708336875,B2
5.5,2142.2321538461533,2023-09-26,5.824964102564103,-0.2164358974358974,1.4633020256410256,26.739195641025642,1022.7950576923076,189.63414230769231,94.35938461538461,0.5606461538461539,B2
6,2766.0500046388356,2023-09-26,6.28312789927104,-0.15759642147117298,1.4485391650099404,26.73688986083499,1022.8015691848907,196.2055712392313,97.6280675944334,0.5657216169648774,B2
6.5,2978.9171794654267,2023-09-26,6.76122571064913,0.0014115400933389824,1.4240996139159952,26.7361206830717,1022.8038850657615,196.0914654221468,97.57005876113703,0.5734535256682224,B2
7,2972.700325610522,2023-09-26,7.179597370068879,0.18100688791484032,1.3291977269881026,26.736963462742644,1022.8053005635567,195.90308296806512,97.47758390732623,0.5759149530369443,B2
7.5,1424.8479383116874,2023-09-26,7.705165584415584,0.08612662337662343,1.2543521103896103,26.745017694805195,1022.8059038961039,194.85766720779222,96.97091396103896,0.5682889935064935,B2
8,941.3620852713179,2023-09-26,8.180457364341086,0.057782945736434096,1.114521007751938,26.747801162790697,1022.8063643410853,190.80286046511628,94.95698449612402,0.5671974418604652,B2
8.5,753.144472826087,2023-09-26,8.731402173913043,0.03888043478260865,0.9406614673913044,26.7446625,1022.7979739130435,174.9530570652174,87.05690217391304,0.5595833695652174,B2
9,825.2723407821231,2023-09-26,9.216195530726257,0.08935754189944127,0.9101008379888268,26.747525418994414,1022.8073592178771,188.42136033519554,93.76883240223464,0.5858553072625698,B2
9.5,860.9876153846155,2023-09-26,9.697841025641026,-0.03488205128205128,0.9527486666666667,26.747472051282053,1022.8137874358974,193.62023076923077,96.35908461538462,0.5783412307692308,B2
10,955.3350410958908,2023-09-26,10.217479452054794,-0.02235616438356167,0.8178369863013699,26.747150342465755,1022.8157383561644,190.79244178082192,94.95100684931506,0.5687188356164383,B2
10.5,1224.255509433962,2023-09-26,10.804391509433962,-0.04411792452830189,0.7779757547169811,26.746285141509432,1022.8184143867925,192.90198584905662,95.99927358490567,0.5595240094339623,B2
11,866.6110326975485,2023-09-26,11.298264305177112,-0.18177520435967295,0.6038054632152589,26.74648971389646,1022.819866280654,194.61560422343325,96.85202656675749,0.5662286648501362,B2
11.5,605.9956986301364,2023-09-26,11.770111696522655,-0.1530611169652266,0.5635303898840885,26.744456533192835,1022.8224124341413,188.82694362486828,93.96944625922022,0.557946037934668,B2
12,605.547439583334,2023-09-26,12.260740625,0.028209374999999988,0.5842993645833333,26.746136302083332,1022.82358859375,189.21761354166668,94.16590052083333,0.5616719166666667,B2
12.5,612.5374762430936,2023-09-26,12.711538121546962,0.21732265193370168,0.5713408508287293,26.74745861878453,1022.8273917679558,195.3853508287293,97.23796298342542,0.5644223314917127,B2
13,727.7374188311691,2023-09-26,13.15314935064935,0.2797857142857143,0.5186581818181818,26.748129383116883,1022.8294045454545,197.90266233766235,98.49197564935065,0.561200616883117,B2
13.5,1809.2340588235295,2023-09-26,13.743764705882354,-0.08414705882352942,0.3448264705882353,26.745676470588236,1022.8321955882353,197.85989705882352,98.46638235294118,0.5230547058823529,B2
14,2044.5580909090909,2023-09-26,14.256,-0.024818181818181843,0.3678818181818182,26.743433333333332,1022.834903030303,198.09228787878789,98.57818181818182,0.5220342424242425,B2
14.5,2146.8547297297296,2023-09-26,14.761486486486486,0.04913513513513511,0.28372843243243245,26.742043243243245,1022.8375716216216,198.25872972972974,98.65885135135134,0.522818918918919,B2
15,2421.2508936170216,2023-09-26,15.260531914893617,-0.026361702127659592,0.31402510638297876,26.74005,1022.8400670212766,198.18224468085106,98.61732978723404,0.5356565957446808,B2
15.5,2385.6762083333333,2023-09-26,15.745479166666666,0.03333333333333329,0.23592583333333333,26.740335416666667,1022.8420708333333,198.05730208333333,98.55566666666667,0.54250625,B2
16,2411.8785862068967,2023-09-26,16.234137931034482,-0.03227586206896557,0.17200948275862069,26.740535344827588,1022.8441629310345,198.1455172413793,98.59986206896552,0.5456610344827586,B2
16.5,2228.6516170212767,2023-09-26,16.762787234042552,0.03425531914893622,0.14140240425531914,26.73989255319149,1022.8467595744681,198.07146808510637,98.56210638297873,0.5335517021276596,B2
17,1911.3354827586209,2023-09-26,17.26051724137931,0.08146551724137935,0.12228118965517241,26.739904310344826,1022.8491663793103,197.96837931034483,98.51106034482758,0.5493875862068965,B2
17.5,1324.369987951807,2023-09-26,17.785746987951807,0.09193975903614456,0.06256801204819278,26.741275903614458,1022.8513319277108,198.01747590361447,98.53799397590362,0.5915095180722891,B2
18,1389.556323943662,2023-09-26,18.197098591549295,-0.051098591549295726,0.04274366073252113,26.742598591549296,1022.8526647887325,197.90667605633803,98.48494366197183,0.5592016901408451,B2
18.5,2003.291651162791,2023-09-26,18.739534883720932,-0.1439302325581396,0.05248396046511628,26.74180930232558,1022.8545325581396,197.94930232558139,98.50438372093024,0.5262797674418604,B2
19,2129.8728717948716,2023-09-26,19.267666666666667,-0.07441025641025636,0.04901090512820513,26.741053846153847,1022.8570076923077,198.00733333333332,98.53197435897435,0.5279420512820513,B2
19.5,2186.2393333333334,2023-09-26,19.763538461538463,0.009923076923076889,0.03956094307697436,26.740320512820514,1022.8593076923077,197.9713205128205,98.51285897435898,0.52559410256410255,B2
20,2367.8812127659576,2023-09-26,20.26323404255319,-0.005808510638297838,0.039165921276702126,26.740586170212765,1022.8610510638298,197.94504255319148,98.49994680851064,0.5411110638297872,B2
20.5,2414.8913333333335,2023-09-26,20.747686274509803,-0.034450980392156806,0.02756870784335294,26.740651960784312,1022.8631274509804,198.15657843137254,98.6053431372549,0.5625941176470588,B2
21,2352.750891304348,2023-09-26,21.237978260869564,-0.05171739130434782,0.01722062747847826,26.740666304347826,1022.8652152173913,197.95339130434783,98.50428260869565,0.5501671739130435,B2
