depth_cat,time_s,date,pressure,descent_rate,PAR,temp,density,oxygen_conc,perc_ox_sat,fluorescence,c_star_at0,c_star_tr0,station
0.5,433.99676627894013,2023-09-26,0.9168048700945757,-0.002924665724535284,4798.397912816606,26.430484927709536,996.8072704967931,259.78278117186653,102.54757701924122,0.36974864365692367,0.528434297206217,87.67723016632243,C2
1,153.2072582204979,2023-09-26,1.123785138620245,2.798196493810713e-4,4880.805818826563,26.17859086073501,997.6022734123146,252.14433357511282,102.3862055931657,0.07813223597678651,0.5432893455834948,87.45980557704706,C2
1.5,646.6255220125786,2023-09-26,1.7195408805031447,0.13286792452830182,4756.103144654088,26.97726886792453,1018.9026522012579,207.03959433962265,99.74935220125786,0,2.013078616352201,65.37378742138365,C2
2,651.9633293413174,2023-09-26,2.285059880239521,0.08467065868263474,4043.1580838323353,26.976452994011975,1022.6943050898203,203.11980239520958,101.44988922155689,0.002939227544910184,0.597114371257485,86.14643952095808,C2
2.5,655.769253164557,2023-09-26,2.759620253164557,0.05075949367088612,2014.0715822784812,26.973889556962025,1022.7013278481013,198.84292405063292,99.31384810126583,0.010780392405063285,0.539009493670886,87.40130949367088,C2
3,739.6030446428571,2023-09-26,3.2424910714285713,-0.0032991071428571045,1579.7333035714287,26.96589888392857,1022.7049995535714,183.2634732142857,91.51973214285714,0.1827579151785714,0.5075995535714286,88.08363928571428,C2
3.5,807.0825566037736,2023-09-26,3.7516037735849057,0.011103773584905679,1439.9756603773585,26.960901886792453,1022.7067556603773,193.06731132075473,96.4065,0.19946115094339628,0.5262084905660377,87.67377924528301,C2
4,804.1971290322581,2023-09-26,4.236118279569893,-0.012666666666666658,1333.1527956989248,26.962181720430106,1022.708711827957,193.86995161290324,96.80974193548387,0.33624822580645164,0.5146301075268818,87.92839677419354,C2
4.5,789.765027027027,2023-09-26,4.764828828828829,0.1702792792792793,1306.7546846846847,26.962755405405407,1022.7119617117118,193.6511846846847,96.70241441441442,0.39553844144144146,0.5064828828828829,88.10798648648648,C2
5,758.6108970588235,2023-09-26,5.203338235294118,0.15752941176470586,1204.4764705882353,26.963780882352943,1022.7163602941176,182.28750367647058,91.03066176470588,0.4211108823529412,0.4988213235294118,88.27737279411764,C2
5.5,716.5004117647059,2023-09-26,5.745539215686274,0.1024019607843137,1126.2833333333333,26.963225,1022.7268602941176,155.7851568627451,77.79949509803922,0.43151617647058826,0.4786372549019608,88.72380294117647,C2
6,717.641221238938,2023-09-26,6.188433628318585,0.11667256637168144,1065.4578761061946,26.964714159292036,1022.7283446902654,148.5384203539823,74.18174336283185,0.4247787610619469,0.48504601769911504,88.58152123893805,C2
6.5,771.0333384615384,2023-09-26,6.762938461538462,0.2676,1043.0176923076922,26.96008,1022.7231623076923,170.4558076923077,85.11677692307693,0.4258107692307692,0.4999292307692308,88.25264461538461,C2
7,798.1813040540541,2023-09-26,7.261101351351352,0.05440540540540537,1027.6798648648648,26.960432094594594,1022.7221182432432,187.3826858108108,93.56820945945945,0.41770635135135137,0.5107858108108108,88.01326554054054,C2
7.5,766.4843043478261,2023-09-26,7.724492753623188,0.1055797101449275,854.4379710144927,26.960502173913042,1022.7244094202898,175.26460869565216,87.51772463768116,0.4162557971014493,0.49669565217391304,88.32507391304348,C2
8,755.8675128205128,2023-09-26,8.25126923076923,0.22460256410256407,941.8620512820513,26.959608974358975,1022.7274403846154,187.23858333333334,93.49567307692308,0.42007115384615384,0.4926076923076923,88.41506923076923,C2
8.5,769.2026590909092,2023-09-26,8.760011363636364,0.23372727272727276,836.8235227272727,26.960267613636365,1022.7290380681818,188.24327272727274,93.99807954545454,0.4168330681818182,0.4969056818181818,88.32014886363636,C2
9,812.98645625,2023-09-26,9.1549,0.08841874999999998,836.8303125,26.96109125,1022.729765625,192.105728125,95.927375,0.4188880625,0.508981875,88.053025625,C2
9.5,774.2996323529411,2023-09-26,9.78660294117647,0.21542647058823527,841.2644117647059,26.959432352941178,1022.7335441176471,188.353625,94.05196323529412,0.4124111764705882,0.4977985294117647,88.30025882352942,C2
10,763.9611111111111,2023-09-26,10.218033333333333,0.034044444444444405,755.3302222222222,26.957340833333333,1022.735756388889,189.23985555555555,94.4908138888889,0.41581222222222225,0.4965044444444444,88.32898333333333,C2
10.5,745.5125483870968,2023-09-26,10.702494623655914,0.05004301075268816,778.2997849462365,26.95834516129032,1022.738838172043,172.34183333333334,86.05605376344086,0.410571935483871,0.49609462365591395,88.33777419354838,C2
11,762.3058772727272,2023-09-26,11.267868181818182,-0.3289818181818182,770.882,26.94585181818182,1022.7420995454545,192.7981090909091,96.24751136363636,0.4200804090909091,0.5147581818181818,87.92542727272728,C2
11.5,763.9991995192307,2023-09-26,11.736603365384616,-0.21248557692307687,702.9525480769231,26.94353581730769,1022.7447762019231,195.27003365384616,97.47802163461539,0.42359728365384614,0.5165963942307692,87.88468725961539,C2
12,745.276845144357,2023-09-26,12.259545931758531,-0.07954461942257217,691.8351837270341,26.94315813648294,1022.7472479002624,191.47582349081364,95.58321325459318,0.43041804461942257,0.5148551181102362,87.92312204724409,C2
12.5,742.6243818407961,2023-09-26,12.7026815920398,0.09491169154228855,665.3150373134329,26.93783513681592,1022.7508049129353,194.12345211442786,96.8967817164179,0.4223532587064676,0.5140756218905472,87.9403802238806,C2
13,769.0930173913043,2023-09-26,13.261845652173912,0.36058260869565223,701.3495652173913,26.92602804347826,1022.7564682608696,195.97238260869565,97.80046739130435,0.4268756739130435,0.5156623913043478,87.9053104347826,C2
13.5,777.4813980582524,2023-09-26,13.636160194174757,0.4021941747572816,617.0011165048544,26.92019077669903,1022.7587050970874,197.65999757281554,98.63232524271845,0.4261890291262136,0.5194145631067961,87.82250873786407,C2
14,858.7073170731708,2023-09-26,14.243024390243903,0.32278048780487806,657.520487804878,26.948171951219514,1022.7543853658536,197.57779268292683,98.6378780487805,0.4136519512195122,0.5177756097560976,87.85834634146342,C2
14.5,860.1473214285714,2023-09-26,14.730142857142857,0.3126785714285714,598.0896428571428,26.91584107142857,1022.7669214285714,197.652625,98.62339285714286,0.41863,0.5187678571428571,87.83641785714285,C2
15,861.7412916666667,2023-09-26,15.311958333333333,0.3776041666666667,565.8827083333333,26.885894791666665,1022.7752875,197.69613541666666,98.59389583333333,0.427274375,0.5205708333333333,87.79691875,C2
15.5,863.9477627118644,2023-09-26,15.671084745762712,0.15115254237288137,588.3705084745762,26.882469491525423,1022.778363559322,197.49787288135593,98.48999152542373,0.43210966101694914,0.5221135593220338,87.7630593220339,C2
16,865.6269523809524,2023-09-26,16.245,0.3294285714285714,601.4661904761905,26.858814285714285,1022.787030952381,197.5942142857143,98.49904761904762,0.4421761904761905,0.5229238095238096,87.74541428571429,C2
16.5,866.39325,2023-09-26,16.7389375,0.5068125,627.526875,26.857253125,1022.789778125,197.49375,98.44653125,0.43841562500000003,0.5221625,87.7621625,C2
17,867.0416666666666,2023-09-26,17.2528,0.6536,517.2333333333333,26.854786666666666,1022.7929566666667,197.51433333333333,98.45293333333333,0.444932,0.52286,87.7466,C2
17.5,867.6458571428572,2023-09-26,17.74442857142857,0.7613571428571428,458.6871428571429,26.853035714285713,1022.7957035714286,197.70485714285715,98.54525,0.448195,0.5231214285714286,87.74126428571428,C2
18,868.3333157894737,2023-09-26,18.241105263157895,0.7868421052631579,503.25684210526316,26.851323684210527,1022.7985131578947,198.01644736842107,98.69797368421052,0.4490057894736842,0.5247052631578948,87.70597368421052,C2
18.5,869.2708461538462,2023-09-26,18.756653846153846,0.6633461538461538,465.31961538461536,26.850257692307693,1022.801075,198.06417307692308,98.71998076923077,0.4521,0.5240769230769231,87.71978461538461,C2
19,870.8790784313726,2023-09-26,19.295921568627453,0.3800980392156863,544.0625490196079,26.850325490196077,1022.8033323529412,198.03241176470587,98.70421568627451,0.4557213725490196,0.5214823529411765,87.7768705882353,C2
19.5,873.7272325581396,2023-09-26,19.691779069767442,0.12580232558139534,460.13476744186045,26.852107558139533,1022.8044406976744,197.65677325581396,98.51983139534883,0.4615813953488372,0.5216918604651163,87.77236860465116,C2
20,876.125,2023-09-26,20.231172413793104,0.2627931034482759,525.3927586206896,26.84573793103448,1022.8096948275862,197.62639655172413,98.49522413793103,0.4543386206896552,0.5221931034482759,87.76119655172414,C2
20.5,877.1855909090909,2023-09-26,20.75631818181818,0.42095454545454547,358.5627272727273,26.845222727272727,1022.8125227272727,197.49897727272727,98.43127272727273,0.45005,0.5244545454545455,87.71151363636363,C2
21,878.0208333333334,2023-09-26,21.255944444444445,0.5386111111111112,499.92833333333334,26.845019444444443,1022.8148027777778,197.76866666666666,98.56541666666666,0.46337,0.5245611111111111,87.70925,C2
21.5,878.8125,2023-09-26,21.74995,0.60825,575.774,26.8444425,1022.8171925,197.59042499999998,98.4757,0.4578765,0.523215,87.73913,C2
22,879.6666666666666,2023-09-26,22.248714285714286,0.6096666666666667,420.2690476190476,26.84345238095238,1022.8196571428572,197.84569047619047,98.60133333333333,0.45578285714285716,0.5228238095238096,87.74778571428571,C2
22.5,880.6875,2023-09-26,22.741464285714287,0.5383214285714286,388.86357142857145,26.84208035714286,1022.8225410714285,198.12180357142856,98.73710714285714,0.46167,0.5254964285714285,87.68879642857142,C2
23,882.0625,2023-09-26,23.249447368421052,0.39723684210526317,449.8205263157895,26.838273684210527,1022.8266921052632,198.00386842105263,98.67273684210527,0.49344473684210527,0.5225026315789474,87.75446315789473,C2
23.5,883.3958461538462,2023-09-26,23.7775,0.37315384615384617,447.8419230769231,26.834834615384615,1022.8308653846154,197.89907692307693,98.61567307692307,0.48901115384615385,0.5218538461538462,87.76862692307692,C2
24,884.45832,2023-09-26,24.267,0.44476,378.4068,26.833684,1022.833746,197.69964,98.51486,0.4665188,0.52222,87.760544,C2
24.5,886.5930779220779,2023-09-26,24.846558441558443,0.2800909090909091,413.9696103896104,26.83385714285714,1022.8361753246753,197.93826623376623,98.63401948051948,0.4725748051948052,0.5217688311688312,87.77085324675325,C2
25,889.2783018867924,2023-09-26,25.195943396226415,0.11824528301886793,364.6166037735849,26.83305283018868,1022.8381226415095,197.9492641509434,98.63844339622642,0.46914037735849057,0.5218188679245284,87.76962075471698,C2
25.5,890.915,2023-09-26,25.75848,0.33372,399.8352,26.831382,1022.841468,197.80706,98.56512000000001,0.4662264,0.5225000000000001,87.754568,C2
26,891.875,2023-09-26,26.242857142857144,0.4585238095238095,376.16333333333336,26.830535714285713,1022.8441714285714,197.49457142857142,98.40845238095238,0.4880514285714286,0.5231571428571429,87.74067142857143,C2
26.5,892.6691176470588,2023-09-26,26.712176470588236,0.533235294117647,295.71,26.829229411764704,1022.8469352941177,197.5570294117647,98.43761764705883,0.4731741176470588,0.5217235294117647,87.7715,C2
27,893.3935,2023-09-26,27.238055555555555,0.6212777777777778,320.3161111111111,26.82774722222222,1022.8498694444445,197.88469444444445,98.59877777777778,0.4810738888888889,0.5225611111111111,87.75351666666667,C2
27.5,894.0833333333334,2023-09-26,27.774333333333335,0.7126,379.4173333333333,26.826053333333334,1022.8529633333334,197.60656666666668,98.45773333333334,0.473016,0.5240133333333333,87.7217,C2
28,894.7083333333334,2023-09-26,28.276,0.7736666666666667,379.10133333333334,26.82423,1022.8559533333333,197.36643333333333,98.33536666666666,0.47570066666666666,0.5229400000000001,87.74494,C2
28.5,898.0888490566037,2023-09-26,28.886,0.1836792452830189,337.95132075471696,26.82597924528302,1022.8574745283019,197.94085849056603,98.6238962264151,0.48939169811320754,0.5221169811320755,87.76304339622642,C2
29,898.3644757281553,2023-09-26,29.184747572815535,0.2214271844660194,342.0590291262136,26.825132524271844,1022.8591281553398,198.0389417475728,98.6714708737864,0.4865035922330097,0.5217504854368932,87.77101650485437,C2
29.5,901.875,2023-09-26,29.724705882352943,0.3922941176470588,375.83176470588234,26.821779411764705,1022.8631235294117,197.98570588235293,98.64008823529412,0.5001082352941176,0.5221235294117648,87.76271176470588,C2
30,902.5625,2023-09-26,30.228375,0.591375,371.26187500000003,26.814534375,1022.867853125,197.92306250000001,98.5974375,0.506179375,0.52271875,87.7497125,C2
30.5,903.25,2023-09-26,30.76364705882353,0.7210588235294118,275.27235294117645,26.803894117647058,1022.8732735294118,198.05414705882353,98.64535294117647,0.5404011764705883,0.5239176470588235,87.72316470588235,C2
31,903.8958571428572,2023-09-26,31.271,0.7745714285714286,270.54571428571427,26.790810714285715,1022.8793714285714,198.31989285714286,98.75642857142857,0.5253807142857143,0.5246357142857143,87.70747142857142,C2
31.5,904.6458181818182,2023-09-26,31.769136363636363,0.7512727272727273,303.90363636363634,26.76898409090909,1022.8878204545455,198.17995454545454,98.65109090909091,0.5329672727272727,0.5249181818181818,87.70132727272727,C2
32,906.8130121951219,2023-09-26,32.33512195121951,0.29400000000000004,309.7989024390244,26.747085975609757,1022.8938,198.1026768292683,98.57470731707318,0.5621365853658536,0.5255353658536586,87.68799390243902,C2
32.5,909.2696666666667,2023-09-26,32.71613888888889,0.15311111111111111,321.5413888888889,26.78363611111111,1022.8874597222223,198.69747222222222,98.93263888888889,0.5637975000000001,0.5233388888888889,87.736225,C2
33,910.4375,2023-09-26,33.24095,0.37575,284.412,26.661224999999998,1022.9285,198.855425,98.81375,0.5743590000000001,0.52518,87.695555,C2
33.5,911.27085,2023-09-26,33.7418,0.5272,271.6505,26.510945,1022.9728425,198.725775,98.502425,0.5628205000000001,0.52729,87.64949,C2
34,912.0625,2023-09-26,34.2545,0.6124444444444445,293.965,26.452733333333335,1022.9917083333333,198.7905,98.43936111111111,0.580585,0.5267777777777778,87.66083333333333,C2
34.5,912.8333157894737,2023-09-26,34.735263157894735,0.639,263.84526315789475,26.438065789473683,1022.9964631578947,199.35842105263157,98.6951052631579,0.5870426315789474,0.5264473684210527,87.66796842105263,C2
35,915.7083361344538,2023-09-26,35.28038655462185,0.18531092436974791,260.0680672268908,26.496247058823528,1022.977725210084,199.55748739495797,98.88557983193277,0.6087663865546219,0.5253823529411765,87.69135966386554,C2
35.5,918.625,2023-09-26,35.738571428571426,0.24823809523809523,291.65190476190475,26.44815238095238,1023.0000523809524,199.96319047619048,99.01295238095238,0.5902671428571429,0.5250190476190476,87.69917142857142,C2
36,919.375,2023-09-26,36.245666666666665,0.4856666666666667,267.47266666666667,26.403706666666665,1023.0137433333333,199.9954,98.9547,0.5968253333333333,0.5254933333333334,87.68849999999999,C2
36.5,919.9791428571428,2023-09-26,36.74092857142857,0.6627142857142857,239.59,26.39162857142857,1023.0191785714286,199.77842857142858,98.82746428571429,0.5983778571428572,0.5244785714285715,87.71102857142857,C2
37,920.5625,2023-09-26,37.252071428571426,0.7892857142857143,221.2942857142857,26.38252142857143,1023.0237142857143,199.73817857142856,98.79232142857143,0.5949764285714285,0.5240928571428571,87.71992142857142,C2
37.5,921.1666666666666,2023-09-26,37.760133333333336,0.8507333333333333,222.992,26.374426666666665,1023.0286366666667,199.98753333333335,98.9027,0.603664,0.52466,87.70676,C2
38,923.7234545454545,2023-09-26,38.34639393939394,0.39075757575757575,226.85333333333332,26.381874242424242,1023.0274772727273,200.21984848484848,99.02848484848485,0.6419130303030304,0.5236636363636364,87.72924545454545,C2
38.5,925.047344,2023-09-26,38.703312,0.16924000000000003,226.59088,26.3832356,1023.0282448,200.0791,98.960828,0.63176464,0.5237776000000001,87.72668,C2
39,928.4375,2023-09-26,39.25238888888889,0.39,213.51777777777778,26.37536111111111,1023.0343944444444,199.9391388888889,98.87997222222222,0.6227094444444444,0.5245722222222222,87.70925,C2
39.5,929.1041428571428,2023-09-26,39.77664285714285,0.6128571428571429,208.065,26.341717857142857,1023.0477928571429,200.2187142857143,98.96414285714286,0.6326535714285715,0.5239142857142858,87.72347857142857,C2
40,929.6666923076923,2023-09-26,40.25746153846154,0.7491538461538462,205.64538461538461,26.31606153846154,1023.0573807692308,200.2366153846154,98.93084615384615,0.63539,0.5246000000000001,87.7082923076923,C2
40.5,930.25,2023-09-26,40.7426,0.8260666666666666,204.42466666666667,26.282896666666666,1023.0717266666667,199.96823333333333,98.74626666666667,0.63956,0.52572,87.68352,C2
41,930.97915,2023-09-26,41.25805,0.80635,196.961,26.2047775,1023.099865,200.212675,98.741175,0.6646515,0.524335,87.71423,C2
41.5,933.8541694915255,2023-09-26,41.83636440677966,0.20365254237288136,194.83093220338984,26.238974576271186,1023.085329661017,200.5077372881356,98.93683050847457,0.7038863559322034,0.5240940677966102,87.71958983050847,C2
42,936.75,2023-09-26,42.20166666666667,0.16847619047619047,186.20619047619047,26.2627,1023.086261904762,200.62449999999998,99.03883333333333,0.6593395238095238,0.5230380952380953,87.74304285714285,C2
42.5,937.5416470588235,2023-09-26,42.725,0.4545882352941176,193.42411764705884,26.148973529411766,1023.1230323529412,200.7920588235294,98.93555882352942,0.6655894117647059,0.5233352941176471,87.73634705882353,C2
43,938.2938421052631,2023-09-26,43.26063157894737,0.659,180.65736842105264,26.09201052631579,1023.1396842105263,200.67534210526316,98.7825,0.6894168421052632,0.524,87.7217,C2
43.5,939.20668,2023-09-26,43.78384,0.66008,177.5616,26.088692000000002,1023.141772,200.86166,98.86776,0.7252744,0.524232,87.71672,C2
44,942.2520743801653,2023-09-26,44.35985950413223,0.1816611570247934,178.5103305785124,26.109360743801652,1023.1367458677686,201.8419297520661,99.38327272727273,0.7504919008264462,0.5258636363636363,87.68074876033057,C2
44.5,945.3874666666667,2023-09-26,44.704433333333334,0.12763333333333335,171.99733333333333,26.104595,1023.1408833333334,201.79393333333334,99.35276666666667,0.7283276666666667,0.5266933333333333,87.66277,C2
